drugbank_id	recon_id	inchi_key
DB02236	gar	OBQMLSFOUZUIOB-HJZCUYRDSA-N
DB02238	2kmb	SXFSQZDSUWACKX-UHFFFAOYSA-N
DB02256	duri	MXHRCPNRJAMMIM-SHYZEUOFSA-N
DB02262	orot	PXQPEWDEAKTCGB-UHFFFAOYSA-N
DB02263	g3p	LXJXRIRHZLFYRP-VKHMYHEASA-N
DB02267	argsuc	KDZOASGQNOPSCU-NTSWFWBYSA-N
DB02272	ppbng	QSHWIQZFGQKFMA-UHFFFAOYSA-N
DB02282	5mta	WUUGFSXJNOTRMR-IOSLPCCCSA-N
DB02285	ppp9	KSFOVUSSGSKXFI-UJJXFSCMSA-N
DB02304	HC02205	PRFXRIUZNKLRHM-HKVRTXJWSA-N
DB02312	g6p	NBSCHQHZLSJFNQ-FPRJBGLDSA-N
DB02312	man6p	NBSCHQHZLSJFNQ-FPRJBGLDSA-N
DB02315	35cgmp	ZOOGRGPOEVQQDX-UUOKFMHZSA-N
DB02317	HC01111	HXXFSFRBOHSIMQ-FPRJBGLDSA-N
DB02317	g1p	HXXFSFRBOHSIMQ-FPRJBGLDSA-N
DB02317	gal1p	HXXFSFRBOHSIMQ-FPRJBGLDSA-N
DB02317	man1p	HXXFSFRBOHSIMQ-FPRJBGLDSA-N
DB02332	fad	VWWQXMAJTJZDQX-UYBVJOGSSA-O
DB02333	dutp	AHCYMLUZIRLXAA-SHYZEUOFSA-N
DB02334	sl_L	CQQGIWJSICOUON-REOHCLBHSA-N
DB02338	nadph	ACFIXJIJDZMPPO-NNYOXOHSSA-N
DB02342	C05302	CQOQDQWUFQDJMK-SSTWWWIQSA-N
DB02345	selcys	ZKZBPNGNEQAJSX-REOHCLBHSA-N
DB02373	h2o	FJSJQPRHXPUMLC-LRDMJOKZSA-L
DB02373	oh1	FJSJQPRHXPUMLC-LRDMJOKZSA-L
DB02377	gua	UYTPUPDQBNUYGX-UHFFFAOYSA-N
DB02379	gal	WQZGKKKJIJFFOK-VFUOTHLCSA-N
DB02379	glc_D	WQZGKKKJIJFFOK-VFUOTHLCSA-N
DB02379	man	WQZGKKKJIJFFOK-VFUOTHLCSA-N
DB02380	din	VGONTNSXDCQUGY-RRKCRQDMSA-N
DB02382	nicrnt	JOUIQRNQJGXQDC-ZYUZMQFOSA-N
DB02421	udpg	HSCJRCZFDFQWRP-NYYOCOOHSA-N
DB02421	udpgal	HSCJRCZFDFQWRP-NYYOCOOHSA-N
DB02431	ctp	PCDQPRRSZKQHHS-XVFCMESISA-N
DB02452	dttp	NHVNXKFIZYSCEB-XLPZGREQSA-N
DB02453	h2o	SZOADBKOANDULT-UHFFFAOYSA-K
DB02453	oh1	SZOADBKOANDULT-UHFFFAOYSA-K
DB02456	cmp	IERHLVCPSMICTF-CCXZUQQUSA-N
DB02485	cmpacna	TXCIAUNLDRJGJZ-BILDWYJOSA-N
DB02515	glyc3p	AWUCVROLDVIAJX-GSVOUGTGSA-N
DB02517	glu_L	WHUUTDBJXJRKMK-GSVOUGTGSA-N
DB02518	CE1554	KTHDTJVBEPMMGL-VKHMYHEASA-N
DB02527	camp	IVOMOUWHDPKRLL-KQYNXXCUSA-N
DB02530	4abut	BTCSSZJGUNDROE-UHFFFAOYSA-N
DB02536	glyald	MNQZXJOMYWMBOU-VKHMYHEASA-N
DB02547	gdpfuc	LQEBEXMHBLQMDB-GDJBGNAASA-N
DB02552	grdp	GVVPGTZRZFNKDS-JXMROGBWSA-N
DB02556	phe_L	COLNVLDHVKWLRT-MRVPVSSYSA-N
DB02561	srb_L	LKDRXBCSQODPBY-FSIIMWSLSA-N
DB02561	tagat_D	LKDRXBCSQODPBY-FSIIMWSLSA-N
DB02562	dhbpt	ZHQJVZLJDXWFFX-RPDRRWSUSA-N
DB02563	HC01409	OEXFMSFODMQEPE-HDRQGHTBSA-N
DB02571	L2aadp6sa	GFXYTQPNNXGICT-YFKPBYRVSA-N
DB02579	acryl	NIXOWILDQLNWCW-UHFFFAOYSA-N
DB02594	dcyt	CKTSBUTUHBMZGZ-SHYZEUOFSA-N
DB02637	oaa	KHPXUQMNIQBQEV-UHFFFAOYSA-M
DB02648	crn	PHIQHXFUZVPYII-ZCFIWIBFSA-O
DB02655	asp_D	CKLJMWTZIZZHCS-UWTATZPHSA-N
DB02655	asp_L	CKLJMWTZIZZHCS-UWTATZPHSA-N
DB02657	gam6p	XHMJOUIAFHJHBW-UKFBFLRUSA-N
DB02659	cholate	BHQCQFFYRZLCQQ-OELDTZBJSA-N
DB02678	gam	MSWZFWKMSRAUBD-VFUOTHLCSA-N
DB02688	2amac	UQBOJOOOTLPNST-UHFFFAOYSA-N
DB02691	gchola	RFDAIACWWDREDC-FRVQLJSFSA-M
DB02693	dttOX	YPGMOWHXEQDBBV-QWWZWVQMSA-N
DB02701	ncam	DFPAKSUCGFBDDF-UHFFFAOYSA-N
DB02714	3ump	FOGRQMPFHUHIGU-XVFCMESISA-N
DB02717	maltttr	LUEWUZLMQUOBSB-HGDSAIHNSA-N
DB02724	fe3	RQZRKFJHRUDTLB-OOXACHQASA-N
DB02726	2pglyc	ASCFNMCAHFUBCO-UHFFFAOYSA-N
DB02743	lcts	GUBGYTABKSRVRQ-WWZHPTPQSA-N
DB02743	malt	GUBGYTABKSRVRQ-WWZHPTPQSA-N
DB02745	uri	DRTQHJPVMGBUCF-XVFCMESISA-N
DB02750	cys_L	OMYFBIZVJYGJJA-YBBRRFGFSA-M
DB02751	gudac	BPMFZUMJYQTVII-UHFFFAOYSA-N
DB02761	thcys	XBKONSCREBSMCS-REOHCLBHSA-N
DB02772	sucr	CZMRCDWAGMRECN-UGDNZRGBSA-N
DB02789	prgnlone	ORNBQBCIOKFOEO-QGVNFLHTSA-N
DB02805	3ump	FOGRQMPFHUHIGU-PXBUCIJWSA-N
DB02831	pi	NBIIXXVUZAFLBC-UHFFFAOYSA-M
DB02835	C03693	RWHOZGRAXYWRNX-VFUOTHLCSA-N
DB02838	1p2cbxl	RHTAIKJZSXNELN-UHFFFAOYSA-N
DB02843	HC01111	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
DB02843	g1p	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
DB02843	gal1p	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
DB02843	man1p	HXXFSFRBOHSIMQ-VFUOTHLCSA-N
DB02853	pro_D	ONIBWKKTOPOVIA-SCSAIBSYSA-N
DB02853	pro_L	ONIBWKKTOPOVIA-SCSAIBSYSA-N
DB02854	ahandrostan	QGXBDMJGAMFCBF-BNSUEQOYSA-N
DB02854	andrstrn	QGXBDMJGAMFCBF-BNSUEQOYSA-N
DB02857	gsn	NYHBQMYGNKIUIF-UUOKFMHZSA-N
DB02867	HC01111	HXXFSFRBOHSIMQ-QTVWNMPRSA-N
DB02867	g1p	HXXFSFRBOHSIMQ-QTVWNMPRSA-N
DB02867	gal1p	HXXFSFRBOHSIMQ-QTVWNMPRSA-N
DB02867	man1p	HXXFSFRBOHSIMQ-QTVWNMPRSA-N
DB02893	met_L	FFEARJCKVFRZRR-SCSAIBSYSA-N
DB02900	g6p	NBSCHQHZLSJFNQ-PQMKYFCFSA-N
DB02900	man6p	NBSCHQHZLSJFNQ-PQMKYFCFSA-N
