drugbank_id	kegg_ligand_id	inchi_key
DB00436	C07758	HDWIHXWEUNVBIY-UHFFFAOYSA-N
DB00438	C06889	ORFOPKXBNMVMKC-DWVKKRMSSA-N
DB00439	C07966	SEERZIQQUAZTOL-ANMDKAQQSA-N
DB00440	C01965	IEDVJHCEMCRBQM-UHFFFAOYSA-N
DB00441	C07650	SDUQYLNIPVEERB-QPPQHZFASA-N
DB00443	C15643	UREBDLICKHMUKA-DVTGEIKXSA-N
DB00444	C11153	NRUKOCRGYNPUPR-QBPJDGROSA-N
DB00445	C01661	AOJJSUZBOXZQNB-VTZDEGQISA-N
DB00445	C11230	AOJJSUZBOXZQNB-VTZDEGQISA-N
DB00446	C00918	WIIZWVCIJKGZOK-RKDXNWHRSA-N
DB00447	C08109	JAPHQRWPEGVNBT-UTUOFQBUSA-N
DB00449	C06963	OCUJLLGVOUDECM-UHFFFAOYSA-N
DB00451	C01829	XUIIKFGFIJCVMT-LBPRGKRZSA-N
DB00451	C08212	XUIIKFGFIJCVMT-LBPRGKRZSA-N
DB00452	C01737	PGBHMTALBVVCIT-VCIWKGPPSA-N
DB00452	C15652	PGBHMTALBVVCIT-VCIWKGPPSA-N
DB00454	C07128	XADCESSVHJOZHK-UHFFFAOYSA-N
DB00456	C07761	XIURVHNZVLADCM-IUODEOHRSA-N
DB00456	C08100	XIURVHNZVLADCM-IUODEOHRSA-N
DB00457	C07368	IENZQIKPVFGBNW-UHFFFAOYSA-N
DB00458	C07049	BCGWQEUPMDMJNV-UHFFFAOYSA-N
DB00458	C07982	BCGWQEUPMDMJNV-UHFFFAOYSA-N
DB00462	C01324	CXYRUNPLKGGUJF-JIRGPDKYSA-M
DB00462	C13645	CXYRUNPLKGGUJF-JIRGPDKYSA-M
DB00464	C01330	FVEFRICMTUKAML-UHFFFAOYSA-M
DB00465	C07062	OZWKMVRBQXNZKK-UHFFFAOYSA-N
DB00466	C09528	VJKUPQSHOVKBCO-ZTYBEOBUSA-N
DB00466	C09529	VJKUPQSHOVKBCO-ZTYBEOBUSA-N
DB00467	C06979	IDYZIJYBMGIQMJ-UHFFFAOYSA-N
DB00468	C06526	LOUPRKONTZGTKE-WZBLMQSHSA-N
DB00468	C06527	LOUPRKONTZGTKE-WZBLMQSHSA-N
DB00470	C06972	CYQFCXCEBYINGO-IAGOWNOFSA-N
DB00471	C07482	UCHDWCPVSPXUMX-TZIWLTJVSA-N
DB00473	C14172	DKLKMKYDWHYZTD-UHFFFAOYSA-N
DB00474	C07844	NZXKDOXHBHYTKP-UHFFFAOYSA-N
DB00477	C06906	ZPEIMTDSQAKGNT-UHFFFAOYSA-N
DB00478	C07236	UBCHPRBFMUDMNC-UHFFFAOYSA-N
DB00478	C08094	UBCHPRBFMUDMNC-UHFFFAOYSA-N
DB00479	C06820	LKCWBDHBTVXHDL-RMDFUYIESA-N
DB00481	C07228	GZUITABIAKMVPG-UHFFFAOYSA-N
DB00482	C07589	RZEKVGVHFLEQIL-UHFFFAOYSA-N
DB00483	C00708	REEUVFCVXKWOFE-UHFFFAOYSA-K
DB00483	C05590	REEUVFCVXKWOFE-UHFFFAOYSA-K
DB00484	C07886	XYLJNLCSTIOKRM-UHFFFAOYSA-N
DB00485	C06950	YFAGHNZHGGCZAX-JKIFEVAISA-N
DB00485	C13756	YFAGHNZHGGCZAX-JKIFEVAISA-N
DB00489	C07309	ZBMZVLHSJCTVON-UHFFFAOYSA-N
DB00490	C06861	QWCRAEMEVRGPNT-UHFFFAOYSA-N
DB00491	C07708	IBAQFPQHRJAVAV-ULAWRXDQSA-N
DB00492	C07016	BIDNLKIUORFRQP-XYGFDPSESA-N
DB00493	C06885	GPRBEKHLDVQUJE-QSWIMTSFSA-N
DB00493	C08113	GPRBEKHLDVQUJE-QSWIMTSFSA-N
DB00494	C07943	JRURYQJSLYLRLN-BJMVGYQFSA-N
DB00495	C07210	HBOMLICNUCNMMY-XLPZGREQSA-N
DB00497	C08018	BRUQQQPBMZOVGD-XFKAJCMBSA-N
DB00497	C08026	BRUQQQPBMZOVGD-XFKAJCMBSA-N
DB00498	C07584	NFBAXHOPROOJAW-UHFFFAOYSA-N
DB00499	C07653	MKXKFYHWDHIYRV-UHFFFAOYSA-N
DB00500	C02328	UPSPUYADGBWSHF-UHFFFAOYSA-N
DB00500	C07149	UPSPUYADGBWSHF-UHFFFAOYSA-N
DB00501	C06952	AQIXAKUUQRKLND-UHFFFAOYSA-N
DB00502	C01814	LNEPOXFFQSENCJ-UHFFFAOYSA-N
DB00503	C07240	NCDNCNXCDXHOMX-XGKFQTDJSA-N
DB00504	C07069	OZYUPQUCAUTOBP-QXAKKESOSA-N
DB00505	C07861	NPRHVSBSZMAEIN-UHFFFAOYSA-N
DB00505	C07862	NPRHVSBSZMAEIN-UHFFFAOYSA-N
DB00505	C11761	NPRHVSBSZMAEIN-UHFFFAOYSA-N
DB00509	C01829	XUIIKFGFIJCVMT-GFCCVEGCSA-N
DB00509	C08212	XUIIKFGFIJCVMT-GFCCVEGCSA-N
DB00512	C06689	MYPYJXKWCTUITO-LYRMYLQWSA-N
