drugbank_id	mcule_id	inchi_key
DB00208	MCULE-3408481955	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00208	MCULE-3971692083	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00210	MCULE-5017789384	LZCDAPDGXCYOEH-UHFFFAOYSA-N
DB00211	MCULE-7047456030	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00211	MCULE-8615039451	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00213	MCULE-8988409059	IQPSEEYGBUAQFF-UHFFFAOYSA-N
DB00214	MCULE-2734924315	NGBFQHCMQULJNZ-UHFFFAOYSA-N
DB00215	MCULE-1202550254	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	MCULE-2438768682	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	MCULE-3600224873	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	MCULE-5882770916	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	MCULE-8566721168	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	MCULE-9546560466	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00219	MCULE-1491988845	GFRUPHOKLBPHTQ-UHFFFAOYSA-N
DB00219	MCULE-3000590480	GFRUPHOKLBPHTQ-UHFFFAOYSA-N
DB00223	MCULE-2421243179	WXURHACBFYSXBI-XHIJKXOTSA-N
DB00223	MCULE-4528693607	WXURHACBFYSXBI-XHIJKXOTSA-N
DB00223	MCULE-4580442571	WXURHACBFYSXBI-XHIJKXOTSA-N
DB00225	MCULE-4909487075	HZHFFEYYPYZMNU-UHFFFAOYSA-K
DB00226	MCULE-3794032460	HPBNRIOWIXYZFK-UHFFFAOYSA-N
DB00226	MCULE-8298839317	HPBNRIOWIXYZFK-UHFFFAOYSA-N
DB00226	MCULE-9395120491	HPBNRIOWIXYZFK-UHFFFAOYSA-N
DB00227	MCULE-4325649241	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00227	MCULE-4740518260	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00227	MCULE-7087866108	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00228	MCULE-1252663082	JPGQOUSTVILISH-UHFFFAOYSA-N
DB00228	MCULE-8703579240	JPGQOUSTVILISH-UHFFFAOYSA-N
DB00230	MCULE-3978936660	AYXYPKUFHZROOJ-ZETCQYMHSA-N
DB00230	MCULE-4620415947	AYXYPKUFHZROOJ-ZETCQYMHSA-N
DB00232	MCULE-4894694501	CESYKOGBSMNBPD-UHFFFAOYSA-N
DB00233	MCULE-4841633599	WUBBRNOQWQTFEX-UHFFFAOYSA-N
DB00235	MCULE-8377851655	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00238	MCULE-8608154492	NQDJXKOVJZTUJA-UHFFFAOYSA-N
DB00241	MCULE-4854044905	UZVHFVZFNXBMQJ-UHFFFAOYSA-N
DB00243	MCULE-8182023610	XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DB00244	MCULE-5752745805	KBOPZPXVLCULAV-UHFFFAOYSA-N
DB00245	MCULE-1020352947	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00245	MCULE-4736181346	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00245	MCULE-5276546081	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00245	MCULE-6992114754	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00249	MCULE-1956539577	XQFRJNBWHJMXHO-RRKCRQDMSA-N
DB00249	MCULE-3556782579	XQFRJNBWHJMXHO-RRKCRQDMSA-N
DB00249	MCULE-5585466189	XQFRJNBWHJMXHO-RRKCRQDMSA-N
DB00250	MCULE-7294380437	MQJKPEGWNLWLTK-UHFFFAOYSA-N
DB00252	MCULE-2376673346	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00253	MCULE-4690967590	GZENKSODFLBBHQ-ILSZZQPISA-N
DB00254	MCULE-1429067456	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00254	MCULE-2281788666	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00254	MCULE-4368118692	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00254	MCULE-8555113623	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00254	MCULE-9451678404	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00255	MCULE-1184803692	RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00255	MCULE-3156396266	RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00257	MCULE-6862012558	VNFPBHJOKIVQEB-UHFFFAOYSA-N
DB00258	MCULE-5396813937	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00258	MCULE-8295936189	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00259	MCULE-8746683155	FDDDEECHVMSUSB-UHFFFAOYSA-N
DB00260	MCULE-3159218372	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00260	MCULE-4212827696	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00260	MCULE-4286940154	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00260	MCULE-6014142329	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00262	MCULE-3131772074	DLGOEMSEDOSKAD-UHFFFAOYSA-N
DB00263	MCULE-3522661051	NHUHCSRWZMLRLA-UHFFFAOYSA-N
DB00264	MCULE-1360440430	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00264	MCULE-4106696689	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00264	MCULE-4595264440	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00264	MCULE-7999715986	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00265	MCULE-5608418902	DNTGGZPQPQTDQF-UHFFFAOYSA-N
DB00266	MCULE-8095183287	DOBMPNYZJYQDGZ-UHFFFAOYSA-N
DB00267	MCULE-9017914180	HJJDBAOLQAWBMH-YCRCPZNHSA-N
DB00268	MCULE-1333778454	UHSKFQJFRQCDBE-UHFFFAOYSA-N
